;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
4;s1;s1v1;s1v1c5;22 Mar St Helena;1820;3.0;22.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
10;s1;s1v2;s1v2c5;2 Apr St Helena;1824;4.0;2.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
16;s1;s1v3;s1v3c5;7 Apr St Helena;1827;4.0;7.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
19;s1;s1v4;s1v4c2;14 Sep Cape;1828;9.0;14.0;l11;False;l11;Cape;calls;-34.2129;18.2832;atlantic
21;s1;s1v4;s1v4c4;15 Jun 1829 St Helena;1829;6.0;15.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
27;s2;s2v1;s2v1c5;25 Jan 1827 St Helena;1827;1.0;25.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
34;s2;s2v2;s2v2c6;22 Feb 1829 St Helena;1829;2.0;22.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
40;s2;s2v3;s2v3c5;27 Jan 1831 Cape;1831;1.0;27.0;l11;False;l11;Cape;calls;-34.2129;18.2832;atlantic
41;s2;s2v3;s2v3c6;19 Feb St Helena;1831;2.0;19.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
49;s3;s3v1;s3v1c2;23 Apr St Helena;1796;4.0;23.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
53;s4;s4v1;s4v1c2;17 Dec Cape;1622;12.0;17.0;l11;False;l11;Cape;calls;-34.2129;18.2832;atlantic
62;s5;s5v1;s5v1c3;24 Nov Cape;1703;11.0;24.0;l11;False;l11;Cape;calls;-34.2129;18.2832;atlantic
73;s5;s5v2;s5v2c2;3 Sep Cape;1708;9.0;3.0;l11;False;l11;Cape;calls;-34.2129;18.2832;atlantic
89;s5;s5v2;s5v2c18;27 Sep Cape;1710;9.0;27.0;l11;False;l11;Cape;calls;-34.2129;18.2832;atlantic
90;s5;s5v2;s5v2c19;25 Oct St Helena;1710;10.0;25.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
93;s5;s5v3;s5v3c2;3 Nov St Helena;1712;11.0;3.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
99;s5;s5v3;s5v3c8;12 Feb 1714 Cape;1714;2.0;12.0;l11;False;l11;Cape;calls;-34.2129;18.2832;atlantic
100;s5;s5v3;s5v3c9;1 Mar St Helena;1714;3.0;1.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
101;s5;s5v3;s5v3c10;6 Jun Nore;1714;6.0;6.0;l39;False;l39;Nore;calls;45.24159;7.56983;atlantic
103;s7;s7v1;s7v1c2;2 Apr Sao Tiago;1718;4.0;2.0;l40;False;l40;Sao Tiago;calls;15.04;-23.38;atlantic
118;s7;s7v1;s7v1c17;12 Oct Cape;1719;10.0;12.0;l11;False;l11;Cape;calls;-34.2129;18.2832;atlantic
119;s7;s7v1;s7v1c18;29 Nov St Helena;1719;11.0;29.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
120;s7;s7v1;s7v1c19;24 Mar Nore 5 Nov 1718;1718;11.0;5.0;l39;False;l39;Nore;calls;45.24159;7.56983;atlantic
126;s8;s8v1;s8v1c3;3 Jan 1803 St Helena;1803;1.0;3.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
131;s9;s9v1;s9v1c2;11 May False Bay;1787;5.0;11.0;l52;False;l52;False Bay;calls;-34.1347;18.3843;atlantic
134;s9;s9v1;s9v1c5;22 Apr St Helena;1788;4.0;22.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
138;s10;s10v1;s10v1c3;31 Dec Cape;1812;12.0;31.0;l11;False;l11;Cape;calls;-34.2129;18.2832;atlantic
139;s10;s10v1;s10v1c4;27 Jan 1813 St Helena;1813;1.0;27.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
147;s11;s11v1;s11v1c7;27 Mar 1799 St Helena;1799;3.0;27.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
151;s11;s11v3;s11v3c2;12 Feb Madeira;1803;2.0;12.0;l56;False;l56;Madeira;calls;32.45;-17.0;atlantic
152;s11;s11v3;s11v3c3;23 Apr Cape;1803;4.0;23.0;l11;False;l11;Cape;calls;-34.2129;18.2832;atlantic
156;s11;s11v3;s11v3c7;12 Mar 1804 St Helena;1804;3.0;12.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
161;s11;s11v4;s11v4c4;14 May St Helena;1806;5.0;14.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
169;s11;s11v5;s11v5c7;30 Dec Cape;1807;12.0;30.0;l11;False;l11;Cape;calls;-34.2129;18.2832;atlantic
170;s11;s11v5;s11v5c8;25 Jan 1808 St Helena;1808;1.0;25.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
191;s12;s12v1;s12v1c18;23 Mar 1766 St Helena;1766;3.0;23.0;l5;False;l5;St Helena;calls;-15.58;-5.42;atlantic
194;s12;s12v2;s12v2c2;13 Jun Rio de Janeiro;1767;6.0;13.0;l67;True;l67;Rio de Janeiro;calls;-22.90642;-43.18223;atlantic
