;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
26;s2;s2v1;s2v1c4;31 Jul Whampoa;1826;7.0;31.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
32;s2;s2v2;s2v2c4;26 Sep Whampoa;1828;9.0;26.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
33;s2;s2v2;s2v2c5;12 Dec Macao;1828;12.0;12.0;l16;False;l16;Macao;calls;22.1;113.33;china
38;s2;s2v3;s2v3c3;2 Sep Kowloon;1830;9.0;2.0;l17;False;l17;Kowloon;calls;22.31667;114.18333;china
39;s2;s2v3;s2v3c4;19 Sep Whampoa;1830;9.0;19.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
45;s2;s2v4;s2v4c3;22 Sep Whampoa;1832;9.0;22.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
46;s2;s2v4;s2v4c4;Second Bar 27 Oct;1832;10.0;27.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
132;s9;s9v1;s9v1c3;21 Aug Whampoa;1787;8.0;21.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
133;s9;s9v1;s9v1c4;7 Jan 1788 Macao;1788;1.0;7.0;l16;False;l16;Macao;calls;22.1;113.33;china
136;s10;s10v1;s10v1c1;Lintin 5 Jul 1812;1812;7.0;5.0;l53;False;l53;Lintin;calls;22.2446;113.4813;china
137;s10;s10v1;s10v1c2;21 Aug Macao;1812;8.0;21.0;l16;False;l16;Macao;calls;22.1;113.33;china
190;s12;s12v1;s12v1c17;21 Jun Whampoa 14 Dec;1765;12.0;14.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
245;s15;s15v3;s15v3c9;15 Jun 1749 Whampoa;1749;6.0;15.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
294;s18;s18v1;s18v1c6;12 Jul Hirado 1 Feb 1617;1617;2.0;1.0;l88;False;l88;Hirado;calls;33.36853;129.55247;china
296;s18;s18v1;s18v1c8;2 Aug Hirado 20 Feb 1618;1618;2.0;20.0;l88;False;l88;Hirado;calls;33.36853;129.55247;china
338;s23;s23v5;s23v5c3;21 Nov Lintin;1798;11.0;21.0;l53;False;l53;Lintin;calls;22.2446;113.4813;china
339;s23;s23v5;s23v5c4;27 Nov Whampoa;1798;11.0;27.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
408;s27;s27v1;s27v1c3;19 Oct Whampoa;1762;10.0;19.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
409;s27;s27v1;s27v1c4;24 Jan 1763 Second Bar;1763;1.0;24.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
416;s28;s28v1;s28v1c3;8 Oct Whampoa;1788;10.0;8.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
417;s28;s28v1;s28v1c4;9 Jan 1789 Second Bar;1789;1.0;9.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
424;s28;s28v2;s28v2c5;27 Aug Whampoa;1791;8.0;27.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
425;s28;s28v2;s28v2c6;22 Oct Second Bar;1791;10.0;22.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
432;s28;s28v3;s28v3c5;26 Feb 1794 Whampoa;1794;2.0;26.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
433;s28;s28v3;s28v3c6;19 Apr Second Bar;1794;4.0;19.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
448;s28;s28v4;s28v4c12;20 Dec Whampoa;1797;12.0;20.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
449;s28;s28v4;s28v4c13;27 Feb 1798 Second Bar;1798;2.0;27.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
450;s28;s28v4;s28v4c14;27 Mar Macao;1798;3.0;27.0;l16;False;l16;Macao;calls;22.1;113.33;china
466;s28;s28v6;s28v6c5;30 Jan 1802 Whampoa;1802;1.0;30.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
467;s28;s28v6;s28v6c6;8 Mar Second Bar;1802;3.0;8.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
479;s28;s28v7;s28v7c10;7 Feb 1807 Whampoa;1807;2.0;7.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
480;s28;s28v7;s28v7c11;13 Mar Second Bar;1807;3.0;13.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
481;s28;s28v7;s28v7c12;3 May Lintin;1807;5.0;3.0;l53;False;l53;Lintin;calls;22.2446;113.4813;china
488;s28;s28v8;s28v8c3;8 Oct Second Bar;1809;10.0;8.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
489;s28;s28v8;s28v8c4;4 Nov Whampoa;1809;11.0;4.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
490;s28;s28v8;s28v8c5;22 Dec Second Bar;1809;12.0;22.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
614;s35;s35v2;s35v2c4;19 Aug Whampoa 11 Jan 1778;1778;1.0;11.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
620;s35;s35v3;s35v3c3;3 Oct Whampoa 20 Jan 1780;1780;1.0;20.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
639;s35;s35v4;s35v4c13;10 Jul Whampoa;1785;7.0;10.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
640;s35;s35v4;s35v4c14;Second Bar 30 Nov;1785;11.0;30.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
647;s36;s36v1;s36v1c5;25 Aug Whampoa;1791;8.0;25.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
648;s36;s36v1;s36v1c6;23 Oct Second Bar;1791;10.0;23.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
652;s36;s36v2;s36v2c2;6 Oct Whampoa;1794;10.0;6.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
653;s36;s36v2;s36v2c3;23 Dec Second Bar;1794;12.0;23.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
661;s36;s36v3;s36v3c6;8 Apr Whampoa;1797;4.0;8.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
662;s36;s36v3;s36v3c7;9 Jun Second Bar;1797;6.0;9.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
672;s36;s36v4;s36v4c7;16 Feb 1800 Whampoa;1800;2.0;16.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
673;s36;s36v4;s36v4c8;27 Feb Second Bar;1800;2.0;27.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
680;s36;s36v5;s36v5c5;31 Jan 1802 Whampoa;1802;1.0;31.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
681;s36;s36v5;s36v5c6;20 Mar Second Bar;1802;3.0;20.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
685;s36;s36v6;s36v6c2;13 Oct Whampoa;1803;10.0;13.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
686;s36;s36v6;s36v6c3;31 Jan 1804 Second Bar;1804;1.0;31.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
696;s36;s36v7;s36v7c6;14 Feb 1808 Whampoa;1808;2.0;14.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
705;s36;s36v8;s36v8c6;11 Oct Whampoa;1810;10.0;11.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
706;s36;s36v8;s36v8c7;25 Dec Second Bar;1810;12.0;25.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
710;s37;s37v1;s37v1c2;7 Aug Whampoa 10 Oct;1827;10.0;10.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
731;s40;s40v1;s40v1c5;14 Sep Whampoa;1802;9.0;14.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
732;s40;s40v1;s40v1c6;21 Nov Second Bar;1802;11.0;21.0;l19;False;l19;Second Bar;calls;22.476411;113.750545;china
737;s40;s40v2;s40v2c3;14 Jan 1805 Whampoa;1805;1.0;14.0;l14;False;l14;Whampoa;calls;23.11037;113.4418;china
