;ship_id;voyage_id;call_id;raw;year;month;day;location_x;special;location_id;location_name;category;lat;lon;region
2;s1;s1v1;s1v1c3;29 Dec Narsipur;1819;12.0;29.0;l3;False;l3;Narsipur;calls;12.21;76.906;madras_presidency
3;s1;s1v1;s1v1c4;3 Jan 1820 Madras;1820;1.0;3.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
13;s1;s1v3;s1v3c2;17 Sep Madras;1826;9.0;17.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
15;s1;s1v3;s1v3c4;18 Jan 1827 Madras;1827;1.0;18.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
63;s5;s5v1;s5v1c4;18 Mar 1704 Anjengo;1704;3.0;18.0;l28;False;l28;Anjengo;calls;8.4833;76.9167;madras_presidency
64;s5;s5v1;s5v1c5;31 Mar Calicut;1704;3.0;31.0;l29;False;l29;Calicut;calls;11.24802;75.7804;madras_presidency
65;s5;s5v1;s5v1c6;10 Apr Tellicherry;1704;4.0;10.0;l30;False;l30;Tellicherry;calls;11.74811;75.4929;madras_presidency
67;s5;s5v1;s5v1c8;29 Apr Mangalore;1704;4.0;29.0;l32;False;l32;Mangalore;calls;12.91723;74.85603;madras_presidency
74;s5;s5v2;s5v2c3;9 Jan 1709 Anjengo;1709;1.0;9.0;l28;False;l28;Anjengo;calls;8.4833;76.9167;madras_presidency
75;s5;s5v2;s5v2c4;20 Jan Calicut;1709;1.0;20.0;l29;False;l29;Calicut;calls;11.24802;75.7804;madras_presidency
76;s5;s5v2;s5v2c5;6 Feb Mangalore;1709;2.0;6.0;l32;False;l32;Mangalore;calls;12.91723;74.85603;madras_presidency
81;s5;s5v2;s5v2c10;19 Jun Madras;1709;6.0;19.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
88;s5;s5v2;s5v2c17;30 May Madras;1710;5.0;30.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
114;s7;s7v1;s7v1c13;21 Feb Tellicherry;1719;2.0;21.0;l30;False;l30;Tellicherry;calls;11.74811;75.4929;madras_presidency
115;s7;s7v1;s7v1c14;3 Mar Calicut;1719;3.0;3.0;l29;False;l29;Calicut;calls;11.24802;75.7804;madras_presidency
116;s7;s7v1;s7v1c15;1 May Cochin;1719;5.0;1.0;l46;False;l46;Cochin;calls;9.93988;76.26022;madras_presidency
123;s7;s7v2;s7v2c2;wrecked at the Cape Jun 1722;1722;6.0;;;True;;Anjengo Cape;calls;8.4833;76.9167;madras_presidency
127;s8;s8v1;s8v1c2;25 Sep Madras;1802;9.0;25.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
155;s11;s11v3;s11v3c4;13 Jun Madras;1803;6.0;13.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
161;s11;s11v4;s11v4c2;4 Dec Madras;1805;12.0;4.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
162;s11;s11v4;s11v4c3;21 Feb 1806 Colombo;1806;2.0;21.0;l59;False;l59;Colombo;calls;6.5604;79.5034;madras_presidency
166;s11;s11v5;s11v5c2;3 Jul Madras;1807;7.0;3.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
170;s11;s11v5;s11v5c6;22 Oct Madras;1807;10.0;22.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
175;s11;s11v6;s11v6c2;lost on Goodwin Sands off South Foreland 25 Ja;1809;;25.0;;True;;Anjengo Cape;calls;8.4833;76.9167;madras_presidency
185;s12;s12v1;s12v1c8;26 Jul Madras;1763;7.0;26.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
208;s12;s12v3;s12v3c5;28 Dec Anjengo;1770;12.0;28.0;l28;False;l28;Anjengo;calls;8.4833;76.9167;madras_presidency
230;s15;s15v1;s15v1c3;23 Dec Madras;1741;12.0;23.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
237;s15;s15v2;s15v2c4;12 Dec Madras;1745;12.0;12.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
238;s15;s15v2;s15v2c5;18 Jan 1746 Fort St David;1746;1.0;18.0;l76;True;l76;Fort St David;calls;11.75;79.75;madras_presidency
246;s15;s15v3;s15v3c6;28 Jul Fort St David;1748;7.0;28.0;l76;True;l76;Fort St David;calls;11.75;79.75;madras_presidency
254;s15;s15v4;s15v4c3;5 Jul Fort St David;1752;7.0;5.0;l76;True;l76;Fort St David;calls;11.75;79.75;madras_presidency
255;s15;s15v4;s15v4c4;1 Aug Vizagapatam;1752;8.0;1.0;l78;False;l78;Vizagapatam;calls;17.68009;83.20161;madras_presidency
259;s15;s15v4;s15v4c8;8 Feb Madras;1753;2.0;8.0;l4;False;l4;Madras;calls;13.457;80.163;madras_presidency
