;location_id;count;location;category;lat;lon;region
0;l5;1391;St Helena;calls;-15.58;-5.42;atlantic
1;l1;1378;Downs;calls;51.1108;1.2923;british_isles
2;l4;671;Madras;calls;13.457;80.163;madras_presidency
3;l18;598;Portsmouth;calls;50.79899;-1.09125;british_isles
4;l14;598;Whampoa;calls;23.11037;113.4418;china
5;l19;548;Second Bar;calls;22.476411;113.750545;china
6;l9;503;Saugor;calls;21.6528;88.0753;bengal_presidency
7;l107;389;Penang;calls;5.41123;100.33543;southeast_asia
8;l11;385;Cape;calls;-34.2129;18.2832;atlantic
9;l8;319;Calcutta;calls;22.3403;88.2212;bengal_presidency
10;l12;291;Bombay;calls;19.07283;72.88261;bombay_presidency
11;l58;264;Diamond Harbour;calls;22.19101;88.19047;bengal_presidency
12;l15;233;Malacca;calls;2.196;102.2405;southeast_asia
13;l57;203;Madeira;calls;32.45;-17.0;atlantic
14;l108;171;Long Reach;calls;51.4415;0.3685;british_isles
15;l13;129;Singapore;calls;1.28967;103.85007;southeast_asia
17;l20;101;Kedgeree;calls;12.8575;87.9115;indian_ocean
19;l59;79;Colombo;calls;6.5604;79.5034;madras_presidency
20;l244;68;Point de Galle;calls;6.0158;80.1256;madras_presidency
21;l78;57;Vizagapatam;calls;17.68009;83.20161;madras_presidency
22;l22;56;Batavia;calls;-6.129;106.8129;southeast_asia
23;l70;55;Gravesend;calls;51.44206;0.37106;british_isles
24;l55;52;Torbay;calls;50.278;-3.3325;british_isles
25;l37;51;Benkulen;calls;-3.80044;102.26554;southeast_asia
26;l68;39;Rio de Janeiro;calls;-22.90642;-43.18223;atlantic
27;l131;38;Cork;calls;51.89797;-8.47061;british_isles
28;l21;37;Falmouth;calls;50.15441;-5.07113;british_isles
29;l85;36;Plymouth;calls;50.37153;-4.14305;british_isles
30;l54;34;Lintin;calls;22.2446;113.4813;china
32;l77;32;Mauritius;calls;-20.2;57.5;indian_ocean
33;l30;29;Tellicherry;calls;11.74811;75.4929;madras_presidency
34;l91;28;Masulipatam;calls;16.18747;81.13888;madras_presidency
35;l408;27;Kidderpore;calls;22.536323;88.316654;bengal_presidency
37;l16;26;Macao;calls;22.1;113.33;china
40;l51;20;Deptford;calls;51.478;-0.0265;british_isles
41;l41;20;Johanna;calls;-12.1254;44.253;indian_ocean
43;l127;18;North;calls;40.84856;-111.90688;atlantic
44;l95;16;Trincomalee;calls;8.5778;81.2289;madras_presidency
45;l28;14;Anjengo;calls;8.4833;76.9167;madras_presidency
46;l6;14;East India Dock;calls;51.30292;0.0035;british_isles
47;l125;13;Amboina;calls;-3.69583;128.18333;southeast_asia
48;l145;12;Quebec;calls;46.81228;-71.21454;atlantic
50;l147;11;Halifax;calls;53.71667;-1.85;british_isles
51;l46;11;Cochin;calls;9.93988;76.26022;madras_presidency
52;l2;10;Bengal;calls;21.3623;88.0932;bengal_presidency
53;l401;10;Coninga;calls;16.5758;82.1518;madras_presidency
54;l128;9;Tenerife;calls;28.1607;-16.362;atlantic
56;l84;9;Acheh;calls;5.3325;95.1934;southeast_asia
57;l40;9;Sao Tiago;calls;15.04;-23.38;atlantic
58;l29;8;Calicut;calls;11.24802;75.7804;madras_presidency
59;l98;8;Quilon;calls;8.88113;76.58469;madras_presidency
60;l409;8;Port Louis;calls;-20.16194;57.49889;indian_ocean
61;l72;8;Ascension;calls;-7.56;-14.22;atlantic
62;l44;8;Goa;calls;15.5;73.83;bombay_presidency
63;l357;7;Cowes;calls;50.76252;-1.29781;british_isles
64;l221;7;Hong Kong;calls;22.27832;114.17469;china
66;l117;7;Port Jackson;calls;-33.513;151.14;indian_ocean
68;l323;6;San Salvador;calls;-12.5829;-38.2836;atlantic
71;l120;6;Rodrigues;calls;-19.43;63.25;indian_ocean
72;l33;6;Surat;calls;21.19594;72.83023;bombay_presidency
73;l740;6;Samarang;calls;-6.99306;110.42083;southeast_asia
75;l143;5;Coringa;calls;16.48;82.14;madras_presidency
77;l223;5;Santa Cruz;calls;15.30815;120.85318;southeast_asia
78;l32;4;Mangalore;calls;12.91723;74.85603;madras_presidency
