;location_id;count;location;category;lat;lon;region
0;l1;2248;Downs;calls;51.1108;1.2923;british_isles
1;l5;1939;St Helena;calls;-15.58;-5.42;atlantic
2;l4;1353;Madras;calls;13.457;80.163;madras_presidency
3;l11;982;Cape;calls;-34.2129;18.2832;atlantic
4;l12;859;Bombay;calls;19.07283;72.88261;bombay_presidency
5;l18;757;Portsmouth;calls;50.79899;-1.09125;british_isles
6;l14;709;Whampoa;calls;23.11037;113.4418;china
7;l19;583;Second Bar;calls;22.476411;113.750545;china
8;l15;300;Malacca;calls;2.196;102.2405;southeast_asia
9;l22;300;Batavia;calls;-6.129;106.8129;southeast_asia
10;l37;295;Benkulen;calls;-3.80044;102.26554;southeast_asia
11;l30;290;Tellicherry;calls;11.74811;75.4929;madras_presidency
12;l8;289;Calcutta;calls;22.3403;88.2212;bengal_presidency
13;l41;269;Johanna;calls;-12.1254;44.253;indian_ocean
14;l28;250;Anjengo;calls;8.4833;76.9167;madras_presidency
15;l20;249;Kedgeree;calls;12.8575;87.9115;indian_ocean
17;l56;200;Madeira;calls;32.45;-17.0;atlantic
18;l33;197;Surat;calls;21.19594;72.83023;bombay_presidency
19;l46;193;Cochin;calls;9.93988;76.26022;madras_presidency
20;l9;190;Saugor;calls;21.6528;88.0753;bengal_presidency
21;l75;187;Fort St David;calls;11.75;79.75;madras_presidency
22;l40;185;Sao Tiago;calls;15.04;-23.38;atlantic
23;l57;182;Diamond Harbour;calls;22.19101;88.19047;bengal_presidency
24;l106;175;Long Reach;calls;51.4415;0.3685;british_isles
26;l84;138;Plymouth;calls;50.37153;-4.14305;british_isles
28;l29;117;Calicut;calls;11.24802;75.7804;madras_presidency
30;l105;99;Penang;calls;5.41123;100.33543;southeast_asia
31;l44;90;Goa;calls;15.5;73.83;bombay_presidency
32;l35;90;Balasore;calls;21.49266;86.93348;bengal_presidency
33;l77;89;Vizagapatam;calls;17.68009;83.20161;madras_presidency
34;l50;89;Deptford;calls;51.478;-0.0265;british_isles
35;l155;80;Mokha;calls;13.1913;43.15;indian_ocean
36;l102;78;St Augustine's Bay;calls;-23.3015;43.41;indian_ocean
37;l67;77;Rio de Janeiro;calls;-22.90642;-43.18223;atlantic
38;l71;70;Ascension;calls;-7.56;-14.22;atlantic
39;l129;67;Cork;calls;51.89797;-8.47061;british_isles
40;l10;64;Blackwall;calls;51.50971;-0.0016;british_isles
41;l54;62;Torbay;calls;50.278;-3.3325;british_isles
42;l96;60;Woolwich;calls;51.491;0.0648;british_isles
43;l58;58;Colombo;calls;6.5604;79.5034;madras_presidency
44;l74;58;Erith;calls;51.48315;0.17484;british_isles
45;l31;53;Karwar;calls;14.81361;74.12972;bombay_presidency
46;l79;53;Bandar Abbas;calls;27.1865;56.2808;indian_ocean
47;l16;51;Macao;calls;22.1;113.33;china
48;l94;50;Trincomalee;calls;8.5778;81.2289;madras_presidency
49;l21;50;Falmouth;calls;50.15441;-5.07113;british_isles
50;l32;47;Mangalore;calls;12.91723;74.85603;madras_presidency
51;l82;45;Moco Moco;calls;-2.5833;101.117;southeast_asia
53;l168;44;Kinsale;calls;51.7075;-8.53056;british_isles
55;l90;42;Masulipatam;calls;16.18747;81.13888;madras_presidency
56;l288;41;Onore;calls;14.28;74.4439;bombay_presidency
57;l290;39;Negapatam;calls;10.76377;79.84313;madras_presidency
58;l127;39;Lisbon;calls;38.71667;-9.13333;atlantic
59;l69;39;Gravesend;calls;51.44206;0.37106;british_isles
60;l76;39;Mauritius;calls;-20.2;57.5;indian_ocean
62;l242;35;Point de Galle;calls;6.0158;80.1256;madras_presidency
